Date,Price
2024-11-01,2.54
2024-11-03,1.862
2024-11-04,2.0
2024-11-06,3.193
2024-11-07,2.282
2024-11-09,2.577
2024-11-10,3.047
2024-11-11,3.126
2024-11-12,3.378
2024-12-01,2.617
2024-12-02,1.8
2024-12-03,1.823
2024-12-04,2.029
2024-12-06,3.122
2024-12-07,2.331
2024-12-08,2.342
2024-12-09,2.633
2024-12-11,3.133
2024-12-12,3.455
2025-01-04,3.951
2025-01-05,3.479
2025-01-07,3.415
2025-01-08,3.083
2025-01-09,2.982
2025-01-10,3.476
2025-01-12,4.921
2025-02-01,3.66
2025-02-04,4.055
2025-02-05,3.63
2025-02-06,3.694
2025-02-07,3.488
2025-02-09,3.009
2025-02-10,3.442
2025-02-12,4.84
2025-03-01,3.354
2025-03-02,3.352
2025-03-03,4.122
2025-03-04,4.138
2025-03-06,3.722
2025-03-07,3.409
2025-03-09,3.064
2025-03-10,3.324
2025-03-11,4.266
2025-03-12,4.995
2025-04-02,3.253
2025-04-03,4.35
2025-04-04,3.837
2025-04-06,3.716
2025-04-07,3.39
2025-04-08,2.932
2025-04-09,3.074
2025-04-11,4.343
2025-04-12,5.063
2025-05-02,3.36
2025-05-03,4.45
2025-05-05,3.55
2025-05-06,3.677
2025-05-08,3.01
2025-05-09,3.048
2025-05-11,4.232
2025-05-12,5.289
2025-06-01,3.672
2025-06-02,3.408
2025-06-03,4.302
2025-06-05,3.463
2025-06-06,3.784
2025-06-08,3.077
2025-06-10,3.357
2025-06-11,4.357
2025-07-01,3.449
2025-07-02,3.309
2025-07-03,4.399
2025-07-04,3.655
2025-07-05,3.621
2025-07-07,3.412
2025-07-08,3.067
2025-07-10,3.498
2025-07-11,4.315
2025-08-01,3.651
2025-08-04,3.465
2025-08-05,3.592
2025-08-07,3.34
2025-08-08,2.99
2025-08-09,3.09
2025-08-10,3.333
2025-08-12,4.912
2025-09-01,3.701
2025-09-04,3.816
2025-09-05,3.795
2025-09-06,3.635
2025-09-07,3.214
2025-09-09,3.117
2025-09-10,3.269
2025-09-12,4.574
2025-10-01,3.989
2025-10-02,3.444
2025-10-03,4.491
2025-10-04,3.557
2025-10-06,3.533
2025-10-07,3.337
2025-10-09,3.029
2025-10-10,3.106
2025-10-11,4.338
2025-10-12,4.595
2025-11-02,3.519
2025-11-03,4.453
2025-11-04,3.527
2025-11-06,3.507
2025-11-07,3.314
2025-11-08,2.954
2025-11-09,2.934
